# proc cat nGausRV nGausWV
ggh 0 2 1
ggh 1 2 1
ggh 2 3 2
ggh 3 2 2
ggh 4 3 2
ggh 5 1 1
ggh 6 2 1
ggh 7 2 1
ggh 8 1 1
ggh 9 1 1
ggh 10 1 1
ggh 11 1 1
ggh 12 1 1
ggh 13 1 1

vbf 0 2 1
vbf 1 2 1
vbf 2 3 2
vbf 3 3 2
vbf 4 3 2
vbf 5 3 1
vbf 6 3 2
vbf 7 3 2
vbf 8 1 1
vbf 9 2 1
vbf 10 2 1
vbf 11 1 1
vbf 12 2 1
vbf 13 1 1

wh 0 2 1
wh 1 3 2
wh 2 3 2
wh 3 3 2
wh 4 3 2
wh 5 1 1
wh 6 1 1
wh 7 2 1
wh 8 3 1
wh 9 3 1
wh 10 2 1
wh 11 1 1
wh 12 2 1
wh 13 3 2

zh 0 2 1
zh 1 3 2
zh 2 3 2
zh 3 3 1
zh 4 3 2
zh 5 1 1
zh 6 1 1
zh 7 2 1
zh 8 2 1
zh 9 3 2
zh 10 2 1
zh 11 2 1
zh 12 2 1
zh 13 3 2

tth 0 3 1
tth 1 3 1
tth 2 3 1
tth 3 4 1
tth 4 4 1
tth 5 1 1
tth 6 2 1
tth 7 2 1
tth 8 2 1
tth 9 2 1
tth 10 2 1
tth 11 2 1
tth 12 2 1
tth 13 2 1

