# this file has been autogenerated by calcPhotonSystConsts.cpp

photonCats=EBlowR9,EBhighR9,EElowR9,EEhighR9

# photonCat       mean_change    sigma_change    rate_change
diphotonCat=0
proc=ggh
EBlowR9scale        0.0002     0.0057     0.0030    
EBlowR9smear        0.0000     0.0296     0.0061    
EBhighR9scale       0.0018     0.0367     0.0030    
EBhighR9smear       0.0002     0.1375     0.0028    
EElowR9scale        0.0000     0.0000     0.0000    
EElowR9smear        0.0000     0.0000     0.0000    
EEhighR9scale       0.0000     0.0000     0.0000    
EEhighR9smear       0.0000     0.0000     0.0000    

diphotonCat=0
proc=vbf
EBlowR9scale        0.0003     0.0255     0.0052    
EBlowR9smear        0.0001     0.0351     0.0013    
EBhighR9scale       0.0013     0.0342     0.0104    
EBhighR9smear       0.0001     0.0992     0.0178    
EElowR9scale        0.0000     0.0000     0.0000    
EElowR9smear        0.0000     0.0000     0.0000    
EEhighR9scale       0.0000     0.0000     0.0000    
EEhighR9smear       0.0000     0.0000     0.0000    

diphotonCat=0
proc=wh
EBlowR9scale        0.0004     0.0095     0.0018    
EBlowR9smear        0.0001     0.0366     0.0042    
EBhighR9scale       0.0018     0.0127     0.0018    
EBhighR9smear       0.0001     0.1113     0.0045    
EElowR9scale        0.0000     0.0000     0.0000    
EElowR9smear        0.0000     0.0000     0.0000    
EEhighR9scale       0.0000     0.0000     0.0000    
EEhighR9smear       0.0000     0.0000     0.0000    

diphotonCat=0
proc=zh
EBlowR9scale        0.0003     0.0241     0.0000    
EBlowR9smear        0.0001     0.0381     0.0000    
EBhighR9scale       0.0020     0.0710     0.0050    
EBhighR9smear       0.0001     0.1322     0.0000    
EElowR9scale        0.0000     0.0000     0.0000    
EElowR9smear        0.0000     0.0000     0.0000    
EEhighR9scale       0.0000     0.0000     0.0000    
EEhighR9smear       0.0000     0.0000     0.0000    

diphotonCat=0
proc=tth
EBlowR9scale        0.0005     0.0120     0.0019    
EBlowR9smear        0.0000     0.0259     0.0010    
EBhighR9scale       0.0016     0.0113     0.0009    
EBhighR9smear       0.0002     0.1125     0.0035    
EElowR9scale        0.0000     0.0000     0.0000    
EElowR9smear        0.0000     0.0000     0.0000    
EEhighR9scale       0.0000     0.0000     0.0000    
EEhighR9smear       0.0000     0.0000     0.0000    

diphotonCat=1
proc=ggh
